,live_stm_bus_trip_id,stm_bus_trip_id,live_stm_bus_trip_date
0,280064501,280064501,2024-11-24
1,280258117,280258117,2024-11-24
2,280345317,280345317,2024-11-24
3,280064912,280064912,2024-11-24
4,280344702,280344702,2024-11-24
5,280332430,280332430,2024-11-24
6,280418180,280418180,2024-11-24
7,280343373,280343373,2024-11-24
8,280417472,280417472,2024-11-24
9,280343814,280343814,2024-11-24
10,280416773,280416773,2024-11-24
11,280344329,280344329,2024-11-24
12,280332126,280332126,2024-11-24
13,280332645,280332645,2024-11-24
14,280418462,280418462,2024-11-24
15,280332023,280332023,2024-11-24
16,280417621,280417621,2024-11-24
17,280417594,280417594,2024-11-24
18,279651555,279651555,2024-11-24
19,280065177,280065177,2024-11-24
20,280065027,280065027,2024-11-24
21,280350321,280350321,2024-11-24
22,280343437,280343437,2024-11-24
23,280350959,280350959,2024-11-24
24,280330694,280330694,2024-11-24
25,280343215,280343215,2024-11-24
26,280258405,280258405,2024-11-24
27,279653171,279653171,2024-11-24
28,280350797,280350797,2024-11-24
29,280344256,280344256,2024-11-24
30,280350009,280350009,2024-11-24
31,280259459,280259459,2024-11-24
32,280349994,280349994,2024-11-24
33,280345800,280345800,2024-11-24
34,280358199,280358199,2024-11-24
35,280065154,280065154,2024-11-24
36,280344217,280344217,2024-11-24
37,280332732,280332732,2024-11-24
38,279652708,279652708,2024-11-24
39,280064878,280064878,2024-11-24
40,280358234,280358234,2024-11-24
41,280332577,280332577,2024-11-24
42,280330973,280330973,2024-11-24
43,280331394,280331394,2024-11-24
44,280350521,280350521,2024-11-24
45,280417622,280417622,2024-11-24
46,280065081,280065081,2024-11-24
47,280350264,280350264,2024-11-24
48,279652267,279652267,2024-11-24
49,280344591,280344591,2024-11-24
50,280065042,280065042,2024-11-24
51,280358505,280358505,2024-11-24
52,280330954,280330954,2024-11-24
53,280258800,280258800,2024-11-24
54,279652312,279652312,2024-11-24
55,280065212,280065212,2024-11-24
56,279652050,279652050,2024-11-24
57,280344612,280344612,2024-11-24
58,280258544,280258544,2024-11-24
59,280350075,280350075,2024-11-24
60,280351257,280351257,2024-11-24
61,280350412,280350412,2024-11-24
62,280350980,280350980,2024-11-24
63,280344961,280344961,2024-11-24
64,280345143,280345143,2024-11-24
65,280351249,280351249,2024-11-24
66,280345659,280345659,2024-11-24
67,280258384,280258384,2024-11-24
68,280064626,280064626,2024-11-24
69,280064860,280064860,2024-11-24
70,280417563,280417563,2024-11-24
71,280344825,280344825,2024-11-24
72,280331291,280331291,2024-11-24
73,280345220,280345220,2024-11-24
74,280344932,280344932,2024-11-24
75,280330913,280330913,2024-11-24
76,280258375,280258375,2024-11-24
77,280064781,280064781,2024-11-24
78,280357705,280357705,2024-11-24
79,280345081,280345081,2024-11-24
80,280418049,280418049,2024-11-24
81,279652633,279652633,2024-11-24
82,280259378,280259378,2024-11-24
83,279651871,279651871,2024-11-24
84,280345343,280345343,2024-11-24
85,280345051,280345051,2024-11-24
86,280332054,280332054,2024-11-24
87,280417303,280417303,2024-11-24
88,280418400,280418400,2024-11-24
89,279653094,279653094,2024-11-24
90,280418008,280418008,2024-11-24
91,280331121,280331121,2024-11-24
92,280358157,280358157,2024-11-24
93,280358879,280358879,2024-11-24
94,280344766,280344766,2024-11-24
95,279651559,279651559,2024-11-24
96,279652092,279652092,2024-11-24
97,280258563,280258563,2024-11-24
98,280418145,280418145,2024-11-24
99,280258937,280258937,2024-11-24
100,280331477,280331477,2024-11-24
101,280331800,280331800,2024-11-24
102,280344571,280344571,2024-11-24
103,280345713,280345713,2024-11-24
104,280332485,280332485,2024-11-24
105,280350878,280350878,2024-11-24
106,280417130,280417130,2024-11-24
107,279652450,279652450,2024-11-24
108,280331186,280331186,2024-11-24
109,280351352,280351352,2024-11-24
110,280418078,280418078,2024-11-24
111,280344176,280344176,2024-11-24
112,279652567,279652567,2024-11-24
113,279651779,279651779,2024-11-24
114,280417506,280417506,2024-11-24
115,280357508,280357508,2024-11-24
116,279651896,279651896,2024-11-24
117,280357786,280357786,2024-11-24
118,280350640,280350640,2024-11-24
119,279652380,279652380,2024-11-24
