,mta_metro_stop_id,mta_metro_stop_name,mta_metro_stop_latitude,mta_metro_stop_longitude,mta_metro_stop_location_type,mta_metro_parent_stop
0,101,Van Cortlandt Park-242 St,40.889248,-73.898583,Station,
1,101N,Van Cortlandt Park-242 St,40.889248,-73.898583,2,101
2,101S,Van Cortlandt Park-242 St,40.889248,-73.898583,2,101
3,103,238 St,40.884667,-73.90087,Station,
4,103N,238 St,40.884667,-73.90087,2,103
5,103S,238 St,40.884667,-73.90087,2,103
6,104,231 St,40.878856,-73.904834,Station,
7,104N,231 St,40.878856,-73.904834,2,104
8,104S,231 St,40.878856,-73.904834,2,104
9,106,Marble Hill-225 St,40.874561,-73.909831,Station,
10,106N,Marble Hill-225 St,40.874561,-73.909831,2,106
11,106S,Marble Hill-225 St,40.874561,-73.909831,2,106
12,107,215 St,40.869444,-73.915279,Station,
13,107N,215 St,40.869444,-73.915279,2,107
14,107S,215 St,40.869444,-73.915279,2,107
15,108,207 St,40.864621,-73.918822,Station,
16,108N,207 St,40.864621,-73.918822,2,108
17,108S,207 St,40.864621,-73.918822,2,108
18,109,Dyckman St,40.860531,-73.925536,Station,
19,109N,Dyckman St,40.860531,-73.925536,2,109
20,109S,Dyckman St,40.860531,-73.925536,2,109
21,110,191 St,40.855225,-73.929412,Station,
22,110N,191 St,40.855225,-73.929412,2,110
23,110S,191 St,40.855225,-73.929412,2,110
24,111,181 St,40.849505,-73.933596,Station,
25,111N,181 St,40.849505,-73.933596,2,111
26,111S,181 St,40.849505,-73.933596,2,111
27,112,168 St-Washington Hts,40.840556,-73.940133,Station,
28,112N,168 St-Washington Hts,40.840556,-73.940133,2,112
29,112S,168 St-Washington Hts,40.840556,-73.940133,2,112
30,113,157 St,40.834041,-73.94489,Station,
31,113N,157 St,40.834041,-73.94489,2,113
32,113S,157 St,40.834041,-73.94489,2,113
33,114,145 St,40.826551,-73.95036,Station,
34,114N,145 St,40.826551,-73.95036,2,114
35,114S,145 St,40.826551,-73.95036,2,114
36,115,137 St-City College,40.822008,-73.953676,Station,
37,115N,137 St-City College,40.822008,-73.953676,2,115
38,115S,137 St-City College,40.822008,-73.953676,2,115
39,116,125 St,40.815581,-73.958372,Station,
40,116N,125 St,40.815581,-73.958372,2,116
41,116S,125 St,40.815581,-73.958372,2,116
42,117,116 St-Columbia University,40.807722,-73.96411,Station,
43,117N,116 St-Columbia University,40.807722,-73.96411,2,117
44,117S,116 St-Columbia University,40.807722,-73.96411,2,117
45,118,Cathedral Pkwy (110 St),40.803967,-73.966847,Station,
46,118N,Cathedral Pkwy (110 St),40.803967,-73.966847,2,118
47,118S,Cathedral Pkwy (110 St),40.803967,-73.966847,2,118
48,119,103 St,40.799446,-73.968379,Station,
49,119N,103 St,40.799446,-73.968379,2,119
50,119S,103 St,40.799446,-73.968379,2,119
51,120,96 St,40.793919,-73.972323,Station,
52,120N,96 St,40.793919,-73.972323,2,120
53,120S,96 St,40.793919,-73.972323,2,120
54,121,86 St,40.788644,-73.976218,Station,
55,121N,86 St,40.788644,-73.976218,2,121
56,121S,86 St,40.788644,-73.976218,2,121
57,122,79 St,40.783934,-73.979917,Station,
58,122N,79 St,40.783934,-73.979917,2,122
59,122S,79 St,40.783934,-73.979917,2,122
60,123,72 St,40.778453,-73.98197,Station,
61,123N,72 St,40.778453,-73.98197,2,123
62,123S,72 St,40.778453,-73.98197,2,123
63,124,66 St-Lincoln Center,40.77344,-73.982209,Station,
64,124N,66 St-Lincoln Center,40.77344,-73.982209,2,124
65,124S,66 St-Lincoln Center,40.77344,-73.982209,2,124
66,125,59 St-Columbus Circle,40.768247,-73.981929,Station,
67,125N,59 St-Columbus Circle,40.768247,-73.981929,2,125
68,125S,59 St-Columbus Circle,40.768247,-73.981929,2,125
69,126,50 St,40.761728,-73.983849,Station,
70,126N,50 St,40.761728,-73.983849,2,126
71,126S,50 St,40.761728,-73.983849,2,126
72,127,Times Sq-42 St,40.75529,-73.987495,Station,
73,127N,Times Sq-42 St,40.75529,-73.987495,2,127
74,127S,Times Sq-42 St,40.75529,-73.987495,2,127
75,128,34 St-Penn Station,40.750373,-73.991057,Station,
76,128N,34 St-Penn Station,40.750373,-73.991057,2,128
77,128S,34 St-Penn Station,40.750373,-73.991057,2,128
78,129,28 St,40.747215,-73.993365,Station,
79,129N,28 St,40.747215,-73.993365,2,129
80,129S,28 St,40.747215,-73.993365,2,129
81,130,23 St,40.744081,-73.995657,Station,
82,130N,23 St,40.744081,-73.995657,2,130
83,130S,23 St,40.744081,-73.995657,2,130
84,131,18 St,40.74104,-73.997871,Station,
85,131N,18 St,40.74104,-73.997871,2,131
86,131S,18 St,40.74104,-73.997871,2,131
87,132,14 St,40.737826,-74.000201,Station,
88,132N,14 St,40.737826,-74.000201,2,132
89,132S,14 St,40.737826,-74.000201,2,132
90,133,Christopher St-Stonewall,40.733422,-74.002906,Station,
91,133N,Christopher St-Stonewall,40.733422,-74.002906,2,133
92,133S,Christopher St-Stonewall,40.733422,-74.002906,2,133
93,134,Houston St,40.728251,-74.005367,Station,
94,134N,Houston St,40.728251,-74.005367,2,134
95,134S,Houston St,40.728251,-74.005367,2,134
96,135,Canal St,40.722854,-74.006277,Station,
97,135N,Canal St,40.722854,-74.006277,2,135
98,135S,Canal St,40.722854,-74.006277,2,135
99,136,Franklin St,40.719318,-74.006886,Station,
100,136N,Franklin St,40.719318,-74.006886,2,136
101,136S,Franklin St,40.719318,-74.006886,2,136
102,137,Chambers St,40.715478,-74.009266,Station,
103,137N,Chambers St,40.715478,-74.009266,2,137
104,137S,Chambers St,40.715478,-74.009266,2,137
105,138,WTC Cortlandt,40.711835,-74.012188,Station,
106,138N,WTC Cortlandt,40.711835,-74.012188,2,138
107,138S,WTC Cortlandt,40.711835,-74.012188,2,138
108,139,Rector St,40.707513,-74.013783,Station,
109,139N,Rector St,40.707513,-74.013783,2,139
110,139S,Rector St,40.707513,-74.013783,2,139
111,140,South Ferry Loop,40.701411,-74.013205,Station,
112,140N,South Ferry Loop,40.701411,-74.013205,2,140
113,140S,South Ferry Loop,40.701411,-74.013205,2,140
114,142,South Ferry,40.702068,-74.013664,Station,
115,142N,South Ferry,40.702068,-74.013664,2,142
116,142S,South Ferry,40.702068,-74.013664,2,142
117,201,Wakefield-241 St,40.903125,-73.85062,Station,
118,201N,Wakefield-241 St,40.903125,-73.85062,2,201
119,201S,Wakefield-241 St,40.903125,-73.85062,2,201
120,204,Nereid Av,40.898379,-73.854376,Station,
121,204N,Nereid Av,40.898379,-73.854376,2,204
122,204S,Nereid Av,40.898379,-73.854376,2,204
123,205,233 St,40.893193,-73.857473,Station,
124,205N,233 St,40.893193,-73.857473,2,205
125,205S,233 St,40.893193,-73.857473,2,205
126,206,225 St,40.888022,-73.860341,Station,
127,206N,225 St,40.888022,-73.860341,2,206
128,206S,225 St,40.888022,-73.860341,2,206
129,207,219 St,40.883895,-73.862633,Station,
130,207N,219 St,40.883895,-73.862633,2,207
131,207S,219 St,40.883895,-73.862633,2,207
132,208,Gun Hill Rd,40.87785,-73.866256,Station,
133,208N,Gun Hill Rd,40.87785,-73.866256,2,208
134,208S,Gun Hill Rd,40.87785,-73.866256,2,208
135,209,Burke Av,40.871356,-73.867164,Station,
136,209N,Burke Av,40.871356,-73.867164,2,209
137,209S,Burke Av,40.871356,-73.867164,2,209
138,210,Allerton Av,40.865462,-73.867352,Station,
139,210N,Allerton Av,40.865462,-73.867352,2,210
140,210S,Allerton Av,40.865462,-73.867352,2,210
141,211,Pelham Pkwy,40.857192,-73.867615,Station,
142,211N,Pelham Pkwy,40.857192,-73.867615,2,211
143,211S,Pelham Pkwy,40.857192,-73.867615,2,211
144,212,Bronx Park East,40.848828,-73.868457,Station,
145,212N,Bronx Park East,40.848828,-73.868457,2,212
146,212S,Bronx Park East,40.848828,-73.868457,2,212
147,213,E 180 St,40.841894,-73.873488,Station,
148,213N,E 180 St,40.841894,-73.873488,2,213
149,213S,E 180 St,40.841894,-73.873488,2,213
150,214,West Farms Sq-E Tremont Av,40.840295,-73.880049,Station,
151,214N,West Farms Sq-E Tremont Av,40.840295,-73.880049,2,214
152,214S,West Farms Sq-E Tremont Av,40.840295,-73.880049,2,214
153,215,174 St,40.837288,-73.887734,Station,
154,215N,174 St,40.837288,-73.887734,2,215
155,215S,174 St,40.837288,-73.887734,2,215
156,216,Freeman St,40.829993,-73.891865,Station,
157,216N,Freeman St,40.829993,-73.891865,2,216
158,216S,Freeman St,40.829993,-73.891865,2,216
159,217,Simpson St,40.824073,-73.893064,Station,
160,217N,Simpson St,40.824073,-73.893064,2,217
161,217S,Simpson St,40.824073,-73.893064,2,217
162,218,Intervale Av,40.822181,-73.896736,Station,
163,218N,Intervale Av,40.822181,-73.896736,2,218
164,218S,Intervale Av,40.822181,-73.896736,2,218
165,219,Prospect Av,40.819585,-73.90177,Station,
166,219N,Prospect Av,40.819585,-73.90177,2,219
167,219S,Prospect Av,40.819585,-73.90177,2,219
168,220,Jackson Av,40.81649,-73.907807,Station,
169,220N,Jackson Av,40.81649,-73.907807,2,220
170,220S,Jackson Av,40.81649,-73.907807,2,220
171,221,3 Av-149 St,40.816109,-73.917757,Station,
172,221N,3 Av-149 St,40.816109,-73.917757,2,221
173,221S,3 Av-149 St,40.816109,-73.917757,2,221
174,222,149 St-Grand Concourse,40.81841,-73.926718,Station,
175,222N,149 St-Grand Concourse,40.81841,-73.926718,2,222
176,222S,149 St-Grand Concourse,40.81841,-73.926718,2,222
177,224,135 St,40.814229,-73.94077,Station,
178,224N,135 St,40.814229,-73.94077,2,224
179,224S,135 St,40.814229,-73.94077,2,224
180,225,125 St,40.807754,-73.945495,Station,
181,225N,125 St,40.807754,-73.945495,2,225
182,225S,125 St,40.807754,-73.945495,2,225
183,226,116 St,40.802098,-73.949625,Station,
184,226N,116 St,40.802098,-73.949625,2,226
185,226S,116 St,40.802098,-73.949625,2,226
186,227,Central Park North (110 St),40.799075,-73.951822,Station,
187,227N,Central Park North (110 St),40.799075,-73.951822,2,227
188,227S,Central Park North (110 St),40.799075,-73.951822,2,227
189,228,Park Place,40.713051,-74.008811,Station,
190,228N,Park Place,40.713051,-74.008811,2,228
191,228S,Park Place,40.713051,-74.008811,2,228
192,229,Fulton St,40.709416,-74.006571,Station,
193,229N,Fulton St,40.709416,-74.006571,2,229
