,mta_metro_stop_time_id,mta_metro_stop_time_trip_id,mta_metro_stop_time_stop_id,mta_metro_stop_time_stop_sequence,mta_metro_stop_arrival_time,mta_metro_stop_departure_time
0,50545,ASP24GEN-2042-Saturday-00_081750_2..N01R,209N,43,14:56:30,14:56:30
1,50546,ASP24GEN-2042-Saturday-00_081750_2..N01R,208N,44,14:58:00,14:58:00
2,50547,ASP24GEN-2042-Saturday-00_081750_2..N01R,207N,45,14:59:30,14:59:30
3,50548,ASP24GEN-2042-Saturday-00_081750_2..N01R,206N,46,15:01:00,15:01:00
4,50549,ASP24GEN-2042-Saturday-00_081750_2..N01R,205N,47,15:02:00,15:02:00
5,50550,ASP24GEN-2042-Saturday-00_081750_2..N01R,204N,48,15:03:30,15:08:30
6,50551,ASP24GEN-2042-Saturday-00_081750_2..N01R,201N,49,15:10:30,15:10:30
7,50552,ASP24GEN-2042-Saturday-00_082500_2..S01R,201S,1,13:45:00,13:45:00
8,50553,ASP24GEN-2042-Saturday-00_082500_2..S01R,204S,2,13:46:30,13:46:30
9,50554,ASP24GEN-2042-Saturday-00_082500_2..S01R,205S,3,13:48:00,13:48:00
10,50555,ASP24GEN-2042-Saturday-00_082500_2..S01R,206S,4,13:49:00,13:49:00
11,50556,ASP24GEN-2042-Saturday-00_082500_2..S01R,207S,5,13:50:30,13:50:30
12,50557,ASP24GEN-2042-Saturday-00_082500_2..S01R,208S,6,13:52:00,13:52:00
13,50558,ASP24GEN-2042-Saturday-00_082500_2..S01R,209S,7,13:53:30,13:53:30
14,50559,ASP24GEN-2042-Saturday-00_082500_2..S01R,210S,8,13:54:30,13:54:30
15,50560,ASP24GEN-2042-Saturday-00_082500_2..S01R,211S,9,13:56:30,13:56:30
16,50561,ASP24GEN-2042-Saturday-00_082500_2..S01R,212S,10,13:58:30,13:58:30
17,50562,ASP24GEN-2042-Saturday-00_082500_2..S01R,213S,11,14:00:30,14:00:30
18,50563,ASP24GEN-2042-Saturday-00_082500_2..S01R,214S,12,14:02:00,14:02:00
19,50564,ASP24GEN-2042-Saturday-00_082500_2..S01R,215S,13,14:04:00,14:04:00
20,50565,ASP24GEN-2042-Saturday-00_082500_2..S01R,216S,14,14:06:00,14:06:00
21,50566,ASP24GEN-2042-Saturday-00_082500_2..S01R,217S,15,14:07:30,14:07:30
22,50567,ASP24GEN-2042-Saturday-00_082500_2..S01R,218S,16,14:08:30,14:08:30
23,50568,ASP24GEN-2042-Saturday-00_082500_2..S01R,219S,17,14:10:00,14:10:00
24,50569,ASP24GEN-2042-Saturday-00_082500_2..S01R,220S,18,14:11:30,14:11:30
25,50570,ASP24GEN-2042-Saturday-00_082500_2..S01R,221S,19,14:13:30,14:13:30
26,50571,ASP24GEN-2042-Saturday-00_082500_2..S01R,222S,20,14:15:30,14:15:30
27,50572,ASP24GEN-2042-Saturday-00_082500_2..S01R,224S,21,14:18:30,14:18:30
28,50573,ASP24GEN-2042-Saturday-00_082500_2..S01R,225S,22,14:20:00,14:20:00
29,50574,ASP24GEN-2042-Saturday-00_082500_2..S01R,226S,23,14:21:30,14:21:30
30,50575,ASP24GEN-2042-Saturday-00_082500_2..S01R,227S,24,14:22:30,14:22:30
31,50576,ASP24GEN-2042-Saturday-00_082500_2..S01R,120S,25,14:27:00,14:27:00
32,50577,ASP24GEN-2042-Saturday-00_082500_2..S01R,123S,26,14:29:30,14:29:30
33,50578,ASP24GEN-2042-Saturday-00_082500_2..S01R,127S,27,14:34:00,14:34:00
34,50579,ASP24GEN-2042-Saturday-00_082500_2..S01R,128S,28,14:35:00,14:35:00
35,50580,ASP24GEN-2042-Saturday-00_082500_2..S01R,132S,29,14:37:30,14:37:30
36,50581,ASP24GEN-2042-Saturday-00_082500_2..S01R,137S,30,14:42:00,14:42:00
37,50582,ASP24GEN-2042-Saturday-00_082500_2..S01R,228S,31,14:43:00,14:43:00
38,50583,ASP24GEN-2042-Saturday-00_082500_2..S01R,229S,32,14:45:30,14:45:30
39,50584,ASP24GEN-2042-Saturday-00_082500_2..S01R,230S,33,14:46:30,14:46:30
40,50585,ASP24GEN-2042-Saturday-00_082500_2..S01R,231S,34,14:51:00,14:51:00
41,50586,ASP24GEN-2042-Saturday-00_082500_2..S01R,232S,35,14:52:00,14:52:00
42,50587,ASP24GEN-2042-Saturday-00_082500_2..S01R,233S,36,14:53:30,14:53:30
43,50588,ASP24GEN-2042-Saturday-00_082500_2..S01R,234S,37,14:54:30,14:54:30
44,50589,ASP24GEN-2042-Saturday-00_082500_2..S01R,235S,38,14:56:00,14:56:00
45,50590,ASP24GEN-2042-Saturday-00_082500_2..S01R,236S,39,14:57:00,14:57:00
46,50591,ASP24GEN-2042-Saturday-00_082500_2..S01R,237S,40,14:59:00,14:59:00
47,50592,ASP24GEN-2042-Saturday-00_082500_2..S01R,238S,41,15:00:30,15:00:30
48,50593,ASP24GEN-2042-Saturday-00_082500_2..S01R,239S,42,15:02:00,15:02:00
49,50594,ASP24GEN-2042-Saturday-00_082500_2..S01R,241S,43,15:05:00,15:05:00
