,mta_metro_trip_id,mta_metro_route_id,mta_metro_service_id,mta_metro_trip_headsign,mta_metro_direction_id
0,ASP24GEN-1038-Sunday-00_000600_1..S03R,1,Sunday,South Ferry,1
1,ASP24GEN-1038-Sunday-00_002600_1..S03R,1,Sunday,South Ferry,1
2,ASP24GEN-1038-Sunday-00_004600_1..S03R,1,Sunday,South Ferry,1
3,ASP24GEN-1038-Sunday-00_006600_1..S03R,1,Sunday,South Ferry,1
4,ASP24GEN-1038-Sunday-00_007200_1..N03R,1,Sunday,Van Cortlandt Park-242 St,0
5,ASP24GEN-1038-Sunday-00_008600_1..S03R,1,Sunday,South Ferry,1
6,ASP24GEN-1038-Sunday-00_009200_1..N03R,1,Sunday,Van Cortlandt Park-242 St,0
7,ASP24GEN-1038-Sunday-00_010600_1..S03R,1,Sunday,South Ferry,1
8,ASP24GEN-1038-Sunday-00_011200_1..N03R,1,Sunday,Van Cortlandt Park-242 St,0
9,ASP24GEN-1038-Sunday-00_012600_1..S03R,1,Sunday,South Ferry,1
10,ASP24GEN-1038-Sunday-00_013200_1..N03R,1,Sunday,Van Cortlandt Park-242 St,0
11,ASP24GEN-1038-Sunday-00_014600_1..S03R,1,Sunday,South Ferry,1
12,ASP24GEN-1038-Sunday-00_015200_1..N03R,1,Sunday,Van Cortlandt Park-242 St,0
13,ASP24GEN-1038-Sunday-00_016600_1..S03R,1,Sunday,South Ferry,1
14,ASP24GEN-1038-Sunday-00_017200_1..N03R,1,Sunday,Van Cortlandt Park-242 St,0
15,ASP24GEN-1038-Sunday-00_018600_1..S03R,1,Sunday,South Ferry,1
16,ASP24GEN-1038-Sunday-00_019200_1..N03R,1,Sunday,Van Cortlandt Park-242 St,0
17,ASP24GEN-1038-Sunday-00_020600_1..S03R,1,Sunday,South Ferry,1
18,ASP24GEN-1038-Sunday-00_021200_1..N03R,1,Sunday,Van Cortlandt Park-242 St,0
19,ASP24GEN-1038-Sunday-00_022600_1..S03R,1,Sunday,South Ferry,1
20,ASP24GEN-1038-Sunday-00_023200_1..N03R,1,Sunday,Van Cortlandt Park-242 St,0
21,ASP24GEN-1038-Sunday-00_024600_1..S03R,1,Sunday,South Ferry,1
22,ASP24GEN-1038-Sunday-00_025200_1..N03R,1,Sunday,Van Cortlandt Park-242 St,0
23,ASP24GEN-1038-Sunday-00_026600_1..S03R,1,Sunday,South Ferry,1
24,ASP24GEN-1038-Sunday-00_027200_1..N03R,1,Sunday,Van Cortlandt Park-242 St,0
25,ASP24GEN-1038-Sunday-00_028600_1..S03R,1,Sunday,South Ferry,1
26,ASP24GEN-1038-Sunday-00_029200_1..N03R,1,Sunday,Van Cortlandt Park-242 St,0
27,ASP24GEN-1038-Sunday-00_030600_1..S03R,1,Sunday,South Ferry,1
28,ASP24GEN-1038-Sunday-00_031200_1..N03R,1,Sunday,Van Cortlandt Park-242 St,0
29,ASP24GEN-1038-Sunday-00_032600_1..S03R,1,Sunday,South Ferry,1
30,ASP24GEN-1038-Sunday-00_033200_1..N03R,1,Sunday,Van Cortlandt Park-242 St,0
31,ASP24GEN-1038-Sunday-00_034600_1..S03R,1,Sunday,South Ferry,1
32,ASP24GEN-1038-Sunday-00_035200_1..N03R,1,Sunday,Van Cortlandt Park-242 St,0
