,stm_metro_planned_kilometerage_id,stm_metro_route_id,planned_kilometerage,day_of_week,stm_metro_planned_kilometerage_date
0,1,5,15810,Sunday,2019-01-06
1,2,5,15810,Wednesday,2019-01-02
2,3,5,16316,Saturday,2019-01-05
3,4,5,26940,Thursday,2019-01-03
4,5,5,26940,Friday,2019-01-04
5,6,5,14039,Tuesday,2019-01-01
6,7,5,15810,Sunday,2019-01-13
7,8,5,15810,Sunday,2019-01-20
8,9,5,15810,Sunday,2019-01-27
9,10,5,15810,Sunday,2019-02-03
10,11,5,15810,Sunday,2019-02-10
11,12,5,15810,Sunday,2019-02-17
12,13,5,15810,Sunday,2019-02-24
13,14,5,15810,Sunday,2019-03-03
14,15,5,15810,Sunday,2019-03-10
15,16,5,15810,Sunday,2019-03-17
16,17,5,15810,Sunday,2019-03-24
17,18,5,16316,Saturday,2019-01-12
18,19,5,16316,Saturday,2019-01-19
19,20,5,16316,Saturday,2019-01-26
20,21,5,16316,Saturday,2019-02-02
21,22,5,16316,Saturday,2019-02-09
22,23,5,16316,Saturday,2019-02-16
23,24,5,16316,Saturday,2019-02-23
24,25,5,16316,Saturday,2019-03-02
25,26,5,16316,Saturday,2019-03-09
26,27,5,16316,Saturday,2019-03-16
27,28,5,16316,Saturday,2019-03-23
28,29,5,26940,Monday,2019-01-07
29,30,5,26940,Tuesday,2019-01-08
30,31,5,26940,Wednesday,2019-01-09
31,32,5,26940,Thursday,2019-01-10
32,33,5,26940,Friday,2019-01-11
33,34,5,26940,Monday,2019-01-14
34,35,5,26940,Tuesday,2019-01-15
35,36,5,26940,Wednesday,2019-01-16
36,37,5,26940,Thursday,2019-01-17
37,38,5,26940,Friday,2019-01-18
38,39,5,26940,Monday,2019-01-21
39,40,5,26940,Tuesday,2019-01-22
40,41,5,26940,Wednesday,2019-01-23
41,42,5,26940,Thursday,2019-01-24
42,43,5,26940,Friday,2019-01-25
43,44,5,26940,Monday,2019-01-28
44,45,5,26940,Tuesday,2019-01-29
45,46,5,26940,Wednesday,2019-01-30
46,47,5,26940,Thursday,2019-01-31
47,48,5,26940,Friday,2019-02-01
48,49,5,26940,Monday,2019-02-04
49,50,5,26940,Tuesday,2019-02-05
50,51,5,26940,Wednesday,2019-02-06
51,52,5,26940,Thursday,2019-02-07
52,53,5,26940,Friday,2019-02-08
53,54,5,26940,Monday,2019-02-11
54,55,5,26940,Tuesday,2019-02-12
55,56,5,26940,Wednesday,2019-02-13
56,57,5,26940,Thursday,2019-02-14
57,58,5,26940,Friday,2019-02-15
58,59,5,26940,Monday,2019-02-18
59,60,5,26940,Tuesday,2019-02-19
60,61,5,26940,Wednesday,2019-02-20
61,62,5,26940,Thursday,2019-02-21
62,63,5,26940,Friday,2019-02-22
63,64,5,26940,Monday,2019-02-25
64,65,5,26940,Tuesday,2019-02-26
65,66,5,26940,Wednesday,2019-02-27
66,67,5,26940,Thursday,2019-02-28
67,68,5,26940,Friday,2019-03-01
68,69,5,26940,Monday,2019-03-04
69,70,5,26940,Tuesday,2019-03-05
70,71,5,26940,Wednesday,2019-03-06
71,72,5,26940,Thursday,2019-03-07
72,73,5,26940,Friday,2019-03-08
73,74,5,26940,Monday,2019-03-11
74,75,5,26940,Tuesday,2019-03-12
75,76,5,26940,Wednesday,2019-03-13
76,77,5,26940,Thursday,2019-03-14
77,78,5,26940,Friday,2019-03-15
78,79,5,26940,Monday,2019-03-18
79,80,5,26940,Tuesday,2019-03-19
80,81,5,26940,Wednesday,2019-03-20
81,82,5,26940,Thursday,2019-03-21
82,83,5,26940,Friday,2019-03-22
83,84,5,18593,Monday,2019-04-22
84,85,5,15810,Sunday,2019-03-31
85,86,5,15810,Sunday,2019-04-07
86,87,5,15810,Sunday,2019-04-14
87,88,5,15810,Sunday,2019-04-21
88,89,5,15810,Sunday,2019-04-28
89,90,5,15810,Sunday,2019-05-05
90,91,5,15810,Sunday,2019-05-12
91,92,5,15810,Sunday,2019-05-19
92,93,5,15810,Sunday,2019-05-26
93,94,5,15810,Sunday,2019-06-02
94,95,5,15810,Sunday,2019-06-09
95,96,5,15810,Sunday,2019-06-16
96,97,5,18593,Friday,2019-04-19
97,98,5,16316,Saturday,2019-03-30
98,99,5,16316,Saturday,2019-04-06
99,100,5,16316,Saturday,2019-04-13
100,101,5,16316,Saturday,2019-04-20
101,102,5,16316,Saturday,2019-04-27
102,103,5,16316,Saturday,2019-05-04
103,104,5,16316,Saturday,2019-05-11
104,105,5,16316,Saturday,2019-05-18
105,106,5,16316,Saturday,2019-05-25
106,107,5,16316,Saturday,2019-06-01
107,108,5,16316,Saturday,2019-06-08
108,109,5,16316,Saturday,2019-06-15
109,110,5,26940,Monday,2019-03-25
110,111,5,26940,Tuesday,2019-03-26
111,112,5,26940,Wednesday,2019-03-27
112,113,5,26940,Thursday,2019-03-28
113,114,5,26940,Friday,2019-03-29
114,115,5,26940,Monday,2019-04-01
115,116,5,26940,Tuesday,2019-04-02
116,117,5,26940,Wednesday,2019-04-03
117,118,5,26940,Thursday,2019-04-04
118,119,5,26940,Friday,2019-04-05
119,120,5,26940,Monday,2019-04-08
120,121,5,26940,Tuesday,2019-04-09
121,122,5,26940,Wednesday,2019-04-10
122,123,5,26940,Thursday,2019-04-11
123,124,5,26940,Friday,2019-04-12
124,125,5,26940,Monday,2019-04-15
125,126,5,26940,Tuesday,2019-04-16
126,127,5,26940,Wednesday,2019-04-17
127,128,5,26940,Thursday,2019-04-18
128,129,5,26940,Tuesday,2019-04-23
129,130,5,26940,Wednesday,2019-04-24
130,131,5,26940,Thursday,2019-04-25
131,132,5,26940,Friday,2019-04-26
132,133,5,26940,Monday,2019-04-29
133,134,5,26940,Tuesday,2019-04-30
134,135,5,26940,Wednesday,2019-05-01
135,136,5,26940,Thursday,2019-05-02
136,137,5,26940,Friday,2019-05-03
137,138,5,26940,Monday,2019-05-06
138,139,5,26940,Tuesday,2019-05-07
139,140,5,26940,Wednesday,2019-05-08
140,141,5,26940,Thursday,2019-05-09
141,142,5,26940,Friday,2019-05-10
142,143,5,26940,Monday,2019-05-13
143,144,5,26940,Tuesday,2019-05-14
144,145,5,26940,Wednesday,2019-05-15
145,146,5,26940,Thursday,2019-05-16
146,147,5,26940,Friday,2019-05-17
147,148,5,26940,Tuesday,2019-05-21
148,149,5,26940,Wednesday,2019-05-22
149,150,5,26940,Thursday,2019-05-23
150,151,5,26940,Friday,2019-05-24
151,152,5,26940,Monday,2019-05-27
152,153,5,26940,Tuesday,2019-05-28
153,154,5,26940,Wednesday,2019-05-29
154,155,5,26940,Thursday,2019-05-30
155,156,5,26940,Friday,2019-05-31
156,157,5,26940,Monday,2019-06-03
157,158,5,26940,Tuesday,2019-06-04
158,159,5,26940,Wednesday,2019-06-05
159,160,5,26940,Thursday,2019-06-06
160,161,5,26940,Friday,2019-06-07
161,162,5,26940,Monday,2019-06-10
162,163,5,26940,Tuesday,2019-06-11
163,164,5,26940,Wednesday,2019-06-12
