,stm_metro_realized_kilometerage_id,stm_metro_route_id,realized_kilometerage,day_of_week_or_type_of_day,stm_metro_realized_kilometerage_date
0,1,5,26,Dimanche,2019-01-06
1,2,5,7,Semaine,2019-12-23
2,3,5,1,Samedi,2020-04-11
3,4,5,1,Samedi,2020-04-18
4,5,5,22,Semaine,2020-04-09
5,6,5,24,Semaine,2020-04-22
6,7,5,1,Semaine,2020-12-11
7,8,5,5,Samedi,2020-10-03
8,9,5,17,Semaine,2020-09-04
9,10,5,9,Semaine,2021-02-01
10,11,5,16,Semaine,2021-02-08
11,12,5,31,Semaine,2021-03-01
12,13,5,22,Semaine,2021-03-04
13,14,5,4,Semaine,2021-03-16
14,15,5,4,Semaine,2021-03-22
15,16,5,25,Semaine,2021-03-29
16,17,5,1,Semaine,2021-07-22
17,18,5,1,Non affecté,2019-09-06
18,19,5,7,Non affecté,2020-04-08
19,20,5,19,Semaine,2020-12-11
20,21,5,2,Samedi,2020-10-03
21,22,5,3,Semaine,2020-09-04
22,23,5,94,Semaine,2019-12-24
23,24,5,94,Semaine,2020-01-06
24,25,5,23,Semaine,2019-03-20
25,26,5,2,Samedi,2019-06-01
26,27,5,3,Samedi,2019-12-21
27,28,5,21,Semaine,2020-08-06
28,29,5,28,Dimanche,2021-03-07
29,30,5,4,Dimanche,2021-03-14
30,31,5,23,Dimanche,2021-04-11
31,32,5,20,Semaine,2021-03-30
32,33,5,8,Semaine,2020-07-07
33,34,5,48,Semaine,2020-07-23
34,35,5,4,Semaine,2021-03-05
35,36,5,3,Dimanche,2019-05-19
36,37,5,7,Semaine,2019-10-15
37,38,5,25,Samedi,2019-01-05
38,39,5,24,Semaine,2019-01-04
39,40,5,24,Semaine,2019-01-07
40,41,5,19,Samedi,2020-09-05
41,42,5,58,Semaine,2020-07-06
42,43,5,1,Semaine,2019-01-07
43,44,5,62,Semaine,2020-10-08
44,45,5,21,Semaine,2021-02-10
45,46,5,3,Non affecté,2019-08-31
46,47,5,10,Semaine,2020-10-08
47,48,5,21,Samedi,2020-04-11
48,49,5,23,Semaine,2020-12-02
49,50,5,13,Semaine,2021-02-01
50,51,5,19,Samedi,2021-07-24
51,52,5,3,Non affecté,2019-06-11
52,53,5,23,Semaine,2019-03-19
53,54,5,7,Semaine,2019-11-01
54,55,5,3,Non affecté,2019-09-06
55,56,5,8,Non affecté,2019-10-10
56,57,5,18,Semaine,2020-12-11
57,58,5,23,Semaine,2020-11-30
58,59,5,19,Semaine,2021-07-22
59,60,5,3,Dimanche,2020-02-09
60,61,5,3,Semaine,2020-12-09
61,62,5,2,Non affecté,2019-08-17
62,63,5,7,Dimanche,2019-11-03
63,64,5,58,Semaine,2020-08-10
64,65,5,91,Non affecté,2019-09-25
65,66,5,133,Non affecté,2020-04-02
66,67,5,23,Semaine,2021-02-03
67,68,5,5,Dimanche,2021-05-30
68,69,5,26,Non affecté,2019-09-09
69,70,5,35,Non affecté,2019-09-09
70,71,5,74,Semaine,2020-04-28
71,72,5,73,Semaine,2020-07-27
72,73,5,42,Semaine,2021-04-21
73,74,5,31,Semaine,2020-07-27
74,75,5,29,Samedi,2020-10-03
75,76,5,22,Semaine,2020-09-02
76,77,5,22,Semaine,2020-09-03
77,78,5,7,Semaine,2021-02-08
78,79,5,24,Deuxième pér. fête,2021-04-05
79,80,5,194,Semaine,2020-01-07
80,81,5,2,Semaine,2020-01-07
81,82,2,1,Dimanche,2019-01-06
82,83,2,6,Semaine,2019-01-03
83,84,2,13,Dimanche,2019-01-13
84,85,2,1,Dimanche,2019-02-03
85,86,2,1,Dimanche,2019-03-17
86,87,2,1,Samedi,2019-02-02
87,88,2,1,Semaine,2019-01-08
88,89,2,1,Semaine,2019-01-09
89,90,2,1,Semaine,2019-01-14
90,91,2,17,Semaine,2019-01-15
91,92,2,1,Semaine,2019-01-16
92,93,2,12,Semaine,2019-01-24
93,94,2,2,Semaine,2019-01-29
94,95,2,0,Semaine,2019-01-30
95,96,2,4,Semaine,2019-01-31
96,97,2,6,Semaine,2019-02-01
97,98,2,6,Semaine,2019-02-04
98,99,2,0,Semaine,2019-02-05
99,100,2,1,Semaine,2019-02-06
100,101,2,1,Semaine,2019-02-13
101,102,2,1,Semaine,2019-02-18
102,103,2,3,Semaine,2019-02-20
103,104,2,1,Semaine,2019-02-21
104,105,2,4,Semaine,2019-02-22
105,106,2,9,Semaine,2019-02-25
106,107,2,4,Semaine,2019-02-26
107,108,2,1,Semaine,2019-03-13
108,109,2,1,Semaine,2019-03-14
109,110,2,1,Semaine,2019-03-15
110,111,2,0,Semaine,2019-03-19
111,112,2,4,Semaine,2019-03-20
112,113,2,1,Semaine,2019-03-21
113,114,2,1,Dimanche,2019-04-14
