,stm_metro_stop_id,stm_metro_stop_name,stm_metro_stop_code,stm_metro_stop_location_type,stm_metro_stop_latitude,stm_metro_stop_longitude,stm_metro_stop_is_wheelchair_accessible
0,STATION_M118,STATION ANGRIGNON,10118,Station,45.446466,-73.603118,True
1,43-01,Station Angrignon,10118,Station entrance,45.446319,-73.603835,True
2,STATION_M120,STATION MONK,10120,Station,45.451158,-73.593242,False
3,42-01,Station Monk - Édicule Nord (B),10120,Station entrance,45.451307,-73.593128,False
4,42-02,Station Monk - Édicule Sud (A),10120,Station entrance,45.451007,-73.59338,False
5,STATION_M122,STATION JOLICOEUR,10122,Station,45.45701,-73.581691,True
6,41-01,Station Jolicoeur,10122,Station entrance,45.456787,-73.582115,True
7,STATION_M124,STATION VERDUN,10124,Station,45.459441,-73.572021,False
8,40-01,Station Verdun - Édicule Nord (A),10124,Station entrance,45.459222,-73.571833,False
9,40-02,Station Verdun - Édicule Sud (B),10124,Station entrance,45.459163,-73.571521,False
10,STATION_M126,STATION DE L'ÉGLISE,10126,Station,45.461894,-73.567074,False
11,39-01,Station De l'Église - Édicule Wellington (A),10126,Station entrance,45.461818,-73.567216,False
12,39-02,Station De l'Église (B),10126,Station entrance,45.462823,-73.565795,False
13,STATION_M128,STATION LASALLE,10128,Station,45.471063,-73.566267,False
14,38-01,Station LaSalle,10128,Station entrance,45.470736,-73.566135,False
15,STATION_M130,STATION CHARLEVOIX,10130,Station,45.478465,-73.569336,False
16,37-01,Station Charlevoix,10130,Station entrance,45.478318,-73.569349,False
17,STATION_M132,STATION LIONEL-GROULX,10132,Station,45.482509,-73.58018,True
18,36-01,Station Lionel-Groulx,10132,Station entrance,45.482878,-73.579601,True
19,STATION_M134,STATION ATWATER,10134,Station,45.490068,-73.585812,False
20,35-01,Station Atwater - Édicule De Maisonneuve (A),10134,Station entrance,45.48977,-73.58629,False
21,35-02,Station Atwater - Édicule Ste-Catherine (B),10134,Station entrance,45.489345,-73.584202,False
22,STATION_M136,STATION GUY-CONCORDIA,10136,Station,45.49557,-73.57931,False
23,34-01,Station Guy-Concordia - Édicule Guy (B),10136,Station entrance,45.495678,-73.579056,False
24,34-02,Station Guy-Concordia - Édicule St-Mathieu (A),10136,Station entrance,45.494521,-73.580755,False
25,STATION_M138,STATION PEEL,10138,Station,45.500879,-73.574715,False
26,33-01,Station Peel - Édicule Ouest (A),10138,Station entrance,45.50089,-73.574971,False
27,33-02,Station Peel - Édicule Metcalfe (C),10138,Station entrance,45.501543,-73.574218,False
28,33-03,Station Peel - Édicule Peel Est (D),10138,Station entrance,45.501028,-73.574305,False
29,33-04,Station Peel - Édicule Stanley (B),10138,Station entrance,45.499937,-73.574713,False
30,STATION_M140,STATION MCGILL,10140,Station,45.504064,-73.571586,True
31,32-01,Station McGill - Édicule Tour KPMG,10140,Station entrance,45.504117,-73.57131,False
32,32-02,Station McGill - Édicule Union,10140,Station entrance,45.504802,-73.571143,False
33,32-03,Station McGill - Édicule Ste-Catherine,10140,Station entrance,45.504705,-73.570872,False
34,32-04,Station McGill - Édicule Robert-Bourassa,10140,Station entrance,45.504393,-73.572132,False
35,32-06,Station McGill - Édicule De Maisonneuve,10140,Station entrance,45.503352,-73.572113,False
36,32-07,Station McGill - Édicule McGill College,10140,Station entrance,45.503365,-73.572397,False
37,32-08,Station McGill - Édicule De Maisonneuve,10140,Station entrance,45.503503,-73.572264,True
38,STATION_M142,STATION PLACE DES ARTS,10142,Station,45.50822,-73.568433,True
39,31-01,Station Place-des-Arts - Édicule Jeanne-Mance (A),10142,Station entrance,45.508211,-73.568122,False
40,31-02,Station Place-des-Arts - Édicule De Bleury Nord (D),10142,Station entrance,45.507254,-73.569391,True
41,31-03,Station Place-des-Arts - Édicule De Bleury Sud (C),10142,Station entrance,45.507028,-73.568701,False
42,31-04,Station Place-des-Arts - Édicule UQAM (B),10142,Station entrance,45.509251,-73.568071,False
43,STATION_M144,STATION ST-LAURENT,10144,Station,45.511033,-73.564899,False
44,30-01,Station Saint-Laurent,10144,Station entrance,45.510835,-73.564915,False
45,STATION_M146,STATION BERRI-UQAM,10146,Station,45.515226,-73.561082,True
46,11-01,Station Berri-UQAM - Édicule Ste-Catherine (B),10146,Station entrance,45.514851,-73.559654,False
47,11-02,Station Berri-UQAM - Édicule St-Denis (D),10146,Station entrance,45.514207,-73.561853,True
48,11-03,Station Berri-UQAM - Édicule Berri (A),10146,Station entrance,45.51498,-73.560861,False
49,11-04,Station Berri-UQAM - Édicule boul. De Maisonneuve (C),10146,Station entrance,45.51652,-73.55977,False
50,11-05,Station Berri-UQAM - Édicule Gare d'autocars de Montréal,10146,Station entrance,45.515736,-73.561645,False
51,STATION_M148,STATION BEAUDRY,10148,Station,45.518831,-73.555837,False
52,29-01,Station Beaudry,10148,Station entrance,45.518977,-73.55585,False
53,STATION_M150,STATION PAPINEAU,10150,Station,45.523988,-73.552703,False
54,28-01,Station Papineau,10150,Station entrance,45.523708,-73.552068,False
55,STATION_M152,STATION FRONTENAC,10152,Station,45.533504,-73.552196,False
56,27-01,Station Frontenac,10152,Station entrance,45.533131,-73.552138,False
57,STATION_M154,STATION PRÉFONTAINE,10154,Station,45.541717,-73.554192,True
58,26-01,Station Préfontaine - Édicule Hochelaga Sud (A),10154,Station entrance,45.541524,-73.554453,True
59,26-02,Station Préfontaine - Édicule Hochelaga Nord (B),10154,Station entrance,45.541641,-73.55479,False
60,STATION_M156,STATION JOLIETTE,10156,Station,45.546832,-73.551391,False
61,25-01,Station Joliette - Édicule Hochelaga Nord (A),10156,Station entrance,45.54698,-73.55151,False
62,25-02,Station Joliette - Édicule Hochelaga Sud (B),10156,Station entrance,45.546996,-73.551162,False
63,STATION_M158,STATION PIE IX,10158,Station,45.553688,-73.551757,True
64,24-01,Station Pie-IX - Édicule Est (A),10158,Station entrance,45.55392,-73.551831,True
