,stm_metro_trip_id,stm_metro_trip_route_id,stm_metro_trip_service_id,stm_metro_trip_headsign,stm_metro_trip_direction_id
0,279679853,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
1,279679857,1,24N-GLOBAUX-01-S,Station Angrignon,1
2,279679859,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
3,279679864,1,24N-GLOBAUX-01-S,Station Angrignon,1
4,279679867,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
5,279679870,1,24N-GLOBAUX-01-S,Station Angrignon,1
6,279679872,1,24N-GLOBAUX-01-S,Station Angrignon,1
7,279679875,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
8,279679879,1,24N-GLOBAUX-01-S,Station Angrignon,1
9,279679881,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
10,279679885,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
11,279679886,1,24N-GLOBAUX-01-S,Station Angrignon,1
12,279679889,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
13,279679891,1,24N-GLOBAUX-01-S,Station Angrignon,1
14,279679893,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
15,279679897,1,24N-GLOBAUX-01-S,Station Angrignon,1
16,279679899,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
17,279679905,1,24N-GLOBAUX-01-S,Station Angrignon,1
18,279679908,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
19,279679910,1,24N-GLOBAUX-01-S,Station Angrignon,1
20,279679912,1,24N-GLOBAUX-01-S,Station Angrignon,1
21,279679915,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
22,279679921,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
23,279679923,1,24N-GLOBAUX-01-S,Station Angrignon,1
24,279679925,1,24N-GLOBAUX-01-S,Station Angrignon,1
25,279679928,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
26,279679931,1,24N-GLOBAUX-01-S,Station Angrignon,1
27,279679934,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
28,279679941,1,24N-GLOBAUX-01-S,Station Angrignon,1
29,279679944,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
30,279679945,1,24N-GLOBAUX-01-S,Station Angrignon,1
31,279679947,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
32,279679949,1,24N-GLOBAUX-01-S,Station Angrignon,1
33,279679951,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
34,279679955,1,24N-GLOBAUX-01-S,Station Angrignon,1
35,279679959,1,24N-GLOBAUX-01-S,Station Angrignon,1
36,279679962,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
37,279679965,1,24N-GLOBAUX-01-S,Station Angrignon,1
38,279679968,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
39,279679971,1,24N-GLOBAUX-01-S,Station Angrignon,1
40,279679974,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
41,279679977,1,24N-GLOBAUX-01-S,Station Angrignon,1
42,279679980,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
43,279679983,1,24N-GLOBAUX-01-S,Station Angrignon,1
44,279679987,1,24N-GLOBAUX-01-S,Station Angrignon,1
45,279679991,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
46,279679995,1,24N-GLOBAUX-01-S,Station Angrignon,1
47,279679997,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
48,279679998,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
49,279680001,1,24N-GLOBAUX-01-S,Station Angrignon,1
50,279680004,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
51,279680007,1,24N-GLOBAUX-01-S,Station Angrignon,1
52,279680010,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
53,279680013,1,24N-GLOBAUX-01-S,Station Angrignon,1
54,279680016,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
55,279680019,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
56,279680022,1,24N-GLOBAUX-01-S,Station Angrignon,1
57,279680026,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
58,279680029,1,24N-GLOBAUX-01-S,Station Angrignon,1
59,279680032,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
60,279680035,1,24N-GLOBAUX-01-S,Station Angrignon,1
61,279680038,1,24N-GLOBAUX-01-S,Station Honoré-Beaugrand,0
62,279680041,1,24N-GLOBAUX-01-S,Station Angrignon,1
