,stm_route_id,stm_route_number
0,1,1
1,2,2
2,4,4
3,5,5
4,10,10
5,11,11
6,12,12
7,13,13
8,14,14
9,16,16
10,17,17
11,18,18
12,19,19
13,22,22
14,24,24
15,25,25
16,26,26
17,27,27
18,28,28
19,29,29
20,30,30
21,31,31
22,32,32
23,33,33
24,34,34
25,35,35
26,36,36
27,37,37
28,38,38
29,39,39
30,40,40
31,41,41
32,43,43
33,44,44
34,45,45
35,46,46
36,47,47
37,48,48
38,49,49
39,50,50
40,51,51
41,52,52
42,54,54
43,55,55
44,56,56
45,57,57
46,61,61
47,63,63
48,64,64
49,66,66
50,67,67
51,68,68
52,69,69
53,70,70
54,71,71
55,72,72
56,73,73
57,74,74
58,80,80
59,81,81
60,85,85
61,86,86
62,90,90
63,92,92
64,93,93
65,94,94
66,95,95
67,97,97
68,99,99
69,100,100
70,101,101
71,102,102
72,103,103
73,104,104
74,105,105
75,106,106
76,107,107
77,108,108
78,110,110
79,112,112
80,113,113
81,114,114
82,115,115
83,117,117
84,119,119
85,121,121
86,123,123
87,124,124
88,125,125
89,126,126
90,128,128
91,129,129
92,131,131
93,135,135
94,136,136
95,138,138
96,139,139
97,140,140
98,141,141
99,144,144
100,146,146
101,150,150
102,160,160
103,161,161
104,162,162
105,164,164
106,165,165
107,166,166
108,168,168
109,170,170
110,171,171
111,172,172
112,174,174
113,175,175
114,176,176
115,177,177
116,179,179
117,180,180
118,183,183
119,185,185
120,186,186
121,187,187
122,188,188
123,189,189
124,190,190
125,192,192
126,193,193
127,195,195
128,196,196
129,197,197
130,198,198
131,200,200
132,201,201
133,202,202
134,203,203
135,204,204
136,205,205
137,206,206
138,207,207
139,208,208
140,209,209
141,211,211
142,212,212
143,213,213
144,215,215
145,216,216
146,217,217
147,218,218
148,219,219
149,220,220
150,225,225
151,350,350
152,353,353
153,354,354
154,355,355
155,356,356
156,357,357
157,358,358
158,359,359
159,360,360
160,361,361
161,362,362
162,363,363
163,364,364
164,365,365
165,368,368
166,369,369
167,370,370
168,371,371
169,372,372
170,376,376
171,378,378
172,380,380
173,382,382
174,401,401
175,405,405
176,407,407
177,409,409
178,410,410
179,411,411
180,419,419
181,420,420
182,425,425
183,427,427
184,428,428
185,430,430
186,432,432
187,439,439
188,440,440
189,444,444
190,445,445
191,448,448
192,449,449
193,460,460
194,465,465
195,467,467
196,468,468
197,469,469
198,470,470
199,475,475
200,480,480
201,485,485
202,486,486
203,487,487
204,491,491
205,496,496
206,711,711
207,747,747
208,767,767
209,769,769
210,777,777
211,811,811
212,822,822
213,872,872
214,968,968
